master_id,pl_number,canonical_name,canonical_brand,canonical_address,canonical_municipality,canonical_state,canonical_zip,lat,lng,status,confidence_score,primary_source,last_confirmed_at,precio_regular,precio_premium,precio_diesel
master_cre_PL/2901/EXP/ES/2015,PL/2901/EXP/ES/2015,0036 REVOLUCION SERVICIO,,,,,,19.39349,-99.1853,active,1.0,cre,2026-04-01T04:15:17.924991+00:00,,,
master_cre_PL/2900/EXP/ES/2015,PL/2900/EXP/ES/2015,0156 ESTACION SERVICIO,,,,,,19.45628,-99.1377,active,1.0,cre,2026-04-01T04:15:17.927899+00:00,,,
master_cre_PL/843/EXP/ES/2015,PL/843/EXP/ES/2015,0194 GASOLINERIA LOMALINDA,,,,,,19.42066,-99.21804,active,1.0,cre,2026-04-01T04:15:17.602733+00:00,,,
master_cre_PL/7149/EXP/ES/2015,PL/7149/EXP/ES/2015,0210 ESTACION SERVICIO,,,,,,19.29772,-99.15164,active,1.0,cre,2026-04-01T04:15:17.804799+00:00,,,
master_cre_PL/9063/EXP/ES/2015,PL/9063/EXP/ES/2015,0231 ESTACION,,,,,,19.63572,-99.10635,active,1.0,cre,2026-04-01T04:15:17.895965+00:00,,,
master_cre_PL/5804/EXP/ES/2015,PL/5804/EXP/ES/2015,0250 CUALLI SERVICIO,,,,,,19.69106,-99.14827,active,1.0,cre,2026-04-01T04:15:17.712309+00:00,,,
master_cre_PL/4485/EXP/ES/2015,PL/4485/EXP/ES/2015,0805 AGUILAR LOZANO SERVICIO,,,,,,19.16894,-98.40871,active,1.0,cre,2026-04-01T04:15:17.749787+00:00,,,
master_cre_PL/1153/EXP/ES/2015,PL/1153/EXP/ES/2015,09920 ESTACION SERVICIO,,,,,,19.30584,-99.63634,active,1.0,cre,2026-04-01T04:15:17.630014+00:00,,,
master_cre_PL/821/EXP/ES/2015,PL/821/EXP/ES/2015,1 AJUSCO GASOLINERIA MEXICO,,,,,,19.2289,-99.19692,active,1.0,cre,2026-04-01T04:15:17.598409+00:00,,,
master_cre_PL/22389/EXP/ES/2019,PL/22389/EXP/ES/2019,1 AP CV GASOLINERO GRUPO SAPI,,,,,,20.45637,-100.6189,active,1.0,cre,2026-04-01T04:15:18.100691+00:00,,,
master_cre_PL/5342/EXP/ES/2015,PL/5342/EXP/ES/2015,1 AYALA COLECTIVO GRUPO N° PLAN,,,,,,24.95035,-98.79408,active,1.0,cre,2026-04-01T04:15:17.701254+00:00,,,
master_cre_PL/5796/EXP/ES/2015,PL/5796/EXP/ES/2015,1 COMBUSTIBLE DISCIP,,,,,,20.63528,-101.3652,active,1.0,cre,2026-04-01T04:15:17.711851+00:00,,,
master_cre_PL/10118/EXP/ES/2015,PL/10118/EXP/ES/2015,1 HOYA,,,,,,24.49989,-104.0874,active,1.0,cre,2026-04-01T04:15:17.954696+00:00,,,
master_cre_PL/9127/EXP/ES/2015,PL/9127/EXP/ES/2015,1 MAYO SERVICIO,,,,,,19.78861,-99.05937,active,1.0,cre,2026-04-01T04:15:17.896352+00:00,,,
master_cre_PL/24329/EXP/ES/2022,PL/24329/EXP/ES/2022,1 PABLO PROYECTO RANCHO SAN,,,,,,19.46993,-97.6953,active,1.0,cre,2026-04-01T04:15:18.130491+00:00,,,
master_cre_PL/20067/EXP/ES/2017,PL/20067/EXP/ES/2017,10 5 PETROGAS,,,,,,32.52665,-116.9487,active,1.0,cre,2026-04-01T04:15:18.071255+00:00,,,
master_cre_PL/3976/EXP/ES/2015,PL/3976/EXP/ES/2015,10 5 SERVICIO,,,,,,18.40134,-98.68488,active,1.0,cre,2026-04-01T04:15:17.766308+00:00,,,
master_cre_PL/1746/EXP/ES/2015,PL/1746/EXP/ES/2015,10 BOLNUEVO INMOBILIARIA,,,,,,19.62374,-99.07623,active,1.0,cre,2026-04-01T04:15:17.650732+00:00,,,
master_cre_PL/21555/EXP/ES/2018,PL/21555/EXP/ES/2018,10 DIAMANTE EJE SERVICIO SUR,,,,,,19.31307,-98.96358,active,1.0,cre,2026-04-01T04:15:18.090143+00:00,,,
master_cre_PL/1738/EXP/ES/2015,PL/1738/EXP/ES/2015,10 EJE SERVICIO,,,,,,19.3364,-99.17332,active,1.0,cre,2026-04-01T04:15:17.653851+00:00,,,
master_cre_PL/10275/EXP/ES/2015,PL/10275/EXP/ES/2015,10 ESTACION SUR,,,,,,19.31187,-98.9635,active,1.0,cre,2026-04-01T04:15:17.958599+00:00,,,
master_cre_PL/7119/EXP/ES/2015,PL/7119/EXP/ES/2015,100 EJE SERVICIO,,,,,,22.12362,-100.9209,active,1.0,cre,2026-04-01T04:15:17.825016+00:00,,,
master_cre_PL/20613/EXP/ES/2017,PL/20613/EXP/ES/2017,1000 FLORENCIA,,,,,,20.6918,-103.3756,active,1.0,cre,2026-04-01T04:15:18.079353+00:00,,,
master_cre_PL/20929/EXP/ES/2018,PL/20929/EXP/ES/2018,102 EJE SERVICIO,,,,,,22.12455,-100.9176,active,1.0,cre,2026-04-01T04:15:18.083158+00:00,,,
master_cre_PL/11228/EXP/ES/2015,PL/11228/EXP/ES/2015,106 GASONORTE,,,,,,28.78003,-107.0353,active,1.0,cre,2026-04-01T04:15:17.972645+00:00,,,
master_cre_PL/6909/EXP/ES/2015,PL/6909/EXP/ES/2015,107 PETRO,,,,,,20.08348,-99.63246,active,1.0,cre,2026-04-01T04:15:17.814626+00:00,,,
master_cre_PL/12553/EXP/ES/2015,PL/12553/EXP/ES/2015,107 PETRO,,,,,,20.28683,-99.69579,active,1.0,cre,2026-04-01T04:15:17.966946+00:00,,,
master_cre_PL/25373/EXP/ES/2023,PL/25373/EXP/ES/2023,11 20 ALICANTE,,,,,,19.39619,-99.29288,active,1.0,cre,2026-04-01T04:15:18.156531+00:00,,,
master_cre_PL/23903/EXP/ES/2021,PL/23903/EXP/ES/2021,110 ENERGETICOS ESTACION SERVICIOS,,,,,,21.26395,-100.6733,active,1.0,cre,2026-04-01T04:15:18.122712+00:00,,,
master_cre_PL/22862/EXP/ES/2019,PL/22862/EXP/ES/2019,116 INMOBILIARIA MINUTO,,,,,,19.37818,-98.10497,active,1.0,cre,2026-04-01T04:15:18.107109+00:00,,,
master_cre_PL/7548/EXP/ES/2015,PL/7548/EXP/ES/2015,12 DICIEMBRE GASOLINERA,,,,,,19.06842,-98.27673,active,1.0,cre,2026-04-01T04:15:17.845664+00:00,,,
master_cre_PL/3838/EXP/ES/2015,PL/3838/EXP/ES/2015,12 DICIEMBRE SERVICIO,,,,,,25.59401,-100.8783,active,1.0,cre,2026-04-01T04:15:17.761441+00:00,,,
master_cre_PL/8566/EXP/ES/2015,PL/8566/EXP/ES/2015,12052 SERVICIO SUPER,,,,,,25.68581,-100.3277,active,1.0,cre,2026-04-01T04:15:17.861255+00:00,,,
master_cre_PL/6956/EXP/ES/2015,PL/6956/EXP/ES/2015,122 GAS,,,,,,19.48802,-99.1627,active,1.0,cre,2026-04-01T04:15:17.801975+00:00,,,
master_cre_PL/10698/EXP/ES/2015,PL/10698/EXP/ES/2015,123 BUGAMBILIAS SERVICIO SUPER,,,,,,19.42385,-98.13819,active,1.0,cre,2026-04-01T04:15:17.974118+00:00,,,
master_cre_PL/21228/EXP/ES/2018,PL/21228/EXP/ES/2018,123 BUGAMBILIAS SERVICIO SUPER,,,,,,19.04603,-98.11194,active,1.0,cre,2026-04-01T04:15:18.087855+00:00,,,
master_cre_PL/22221/EXP/ES/2019,PL/22221/EXP/ES/2019,1272 COMBUSTRON,,,,,,20.6724,-103.4068,active,1.0,cre,2026-04-01T04:15:18.098915+00:00,,,
master_cre_PL/5372/EXP/ES/2015,PL/5372/EXP/ES/2015,13 GASOLINERA,,,,,,20.53155,-97.44229,active,1.0,cre,2026-04-01T04:15:17.714343+00:00,,,
